objID,RA,DEC,PGC,HUBBLE,TYPE
1237646012178759745,49.9459167,0.5845833,PGC 12425,.S?....,-99.0
1237646012178759747,49.9293333,0.5654722,PGC 12418,.S?....,-99.0
1237646012181381331,55.968625,0.6143611,PGC 13702,.S..6*.,6.0
1237646012184854838,63.865333,0.488194,PGC 14751,.S..6*.,6.0
1237646012186689617,68.025481,0.56736,PGC 15447,.L..0*.,-2.0
1237646012186755520,68.229875,0.53675,PGC 15491,.S..9*.,9.0
1237646012187869285,70.728792,0.618583,PGC 15867,.SAT5*.,5.0
1237646012188262641,71.655542,0.620917,PGC 15982,.S..6*.,6.0
1237646012190425103,76.51125,0.557778,PGC 16734,.S?....,-99.0
1237646012692758635,357.7760417,1.0566667,PGC 72618,PSXR4P*,3.7
1237646012697215170,7.93025,0.9007778,PGC  1936,.S..8*.,8.0
1237646012698066955,9.824333,0.91275,PGC  2357,.LB..P*,-2.2
1237646012698066956,9.805792,0.864139,PGC  2352,PSBR1*.,1.0
1237646012698066960,9.8282917,0.8919444,PGC  2365,.LB.0P.,-2.0
1237646012698067054,9.8950833,0.8598889,PGC  2388,.SXR5..,4.5
1237646012698394702,10.547125,0.9045278,PGC  2522,CE...?.,-5.0
1237646012700229643,14.7670833333333,1.00138888888889,PGC  3530,,-99.0
1237646012700295252,14.9255,0.9166111,PGC  3566,.S..6*.,6.0
1237646012701147181,16.8440833,0.9259722,PGC  3976,PLA.-*.,-3.2
1237646012701147333,16.943496,1.063739,PGC  4013,.S?....,-99.0
1237646012701736968,18.232125,0.981556,PGC  4367,.SXS9..,9.0
1237646012701802693,18.414154,0.874413,PGC  4416,.I..9*.,10.0
1237646012702720031,20.537458,0.945361,PGC  4979,.SXS6*/,6.0
1237646012703047871,21.202388,1.036935,PGC  5220,.I..9?.,10.0
1237646012710191143,37.57175,0.936531,PGC  9530,.IBS9*.,10.0
1237646012710387750,37.99825,0.9100278,PGC  9643,.SXS5..,5.0
1237646012710584466,38.4845833,0.9236944,PGC  9765,.SBS6*.,6.0
1237646012712222751,42.2162917,0.9895278,PGC 10651,.SA.1..,1.0
1237646012713074724,44.113,0.8757222,PGC 11112,.SX.4..,4.0
1237646012723102046,67.05975,1.053028,PGC 15181,.S..8*.,8.0
1237646012723429385,67.689333,0.863667,PGC 15342,.S..2./,2.2
1237646012727428302,76.8198,0.915,PGC 26180,.S?....,-99.0
1237646379372577048,42.969583,-1.172222,PGC 10854,.SBT9*.,9.0
1237646379372904520,43.7632917,-1.1894167,PGC 11000,.S..5..,5.0
1237646379373887584,45.954625,-1.1037222,PGC 11537,.LA.+*.,-0.5
1237646379374805071,47.999421,-1.161669,PGC 11919,.S..4*/,4.0
1237646379375722632,50.178917,-1.108583,PGC 12531,.SA.5P*,4.5
1237646379375722672,50.188875,-1.0539722,PGC 12538,.L?....,-99.0
1237646379375853687,50.5036667,-1.05425,PGC 12620,.S..6*.,6.0
1237646379381031128,62.2565,-1.159611,PGC 14559,.SBS4*.,4.3
1237646379385225366,71.900958,-1.161861,PGC 16017,.S..1..,1.0
1237646379386077424,73.797659,-1.18931,PGC 16333,.SB.2..,2.0
1237646379386536231,74.847625,-1.15925,PGC 16490,.SBS4?/,4.0
1237646379387060566,76.04875,-1.155917,PGC 16662,.SB?...,-99.0
1237646379388567919,79.440875,-1.186861,PGC 17058,.S..6*.,6.0
1237646379909447765,42.8963333,-0.7337778,PGC 10843,.S..1*.,1.0
1237646379910430872,45.2635833,-0.7433056,PGC 11397,.S..8*.,8.0
1237646379911086129,46.7184167,-0.7944722,PGC 11670,RSBR0..,0.0
1237646379917049863,60.260458,-0.717694,PGC 14288,.SBT8?.,8.3
1237646379919147088,65.073667,-0.692722,PGC 14907,.LXR+?.,-1.0
1237646379919540276,65.995167,-0.826917,PGC 15027,.S..3..,3.0
1237646379919605775,66.105583,-0.746222,PGC 15042,.L..+P?,-1.3
1237646379919605904,66.1609167,-0.7598361,PGC 15051,CI..9??,10.0
1237646379923144855,74.288859,-0.827056,PGC 16392,,-99.0
